"f_21:0","f_21:1","f_21:2","Points:0","Points:1","Points:2"
7.3457e-05,-4.4817e-06,0,0.26,1.81,0
8.6507e-05,-5.3623e-06,0,0.27,1.81,0
0.00010282,-5.0025e-06,0,0.28,1.8,0
0.00010179,-6.4148e-06,0,0.28,1.81,0
0.00012089,-6.0089e-06,0,0.29,1.8,0
0.00011967,-7.6742e-06,0,0.29,1.81,0
0.00014202,-7.2137e-06,0,0.3,1.8,0
0.00014058,-9.1796e-06,0,0.3,1.81,0
0.00016501,-1.0969e-05,0,0.31,1.81,0
2.8921e-07,-3.1253e-08,0,0.01,1.82,0
0,0,0,0,1.82,0
5.9101e-07,-5.6893e-08,0,0.02,1.82,0
9.1347e-07,-7.9668e-08,0,0.03,1.82,0
1.2656e-06,-1.0171e-07,0,0.04,1.82,0
1.6575e-06,-1.2481e-07,0,0.05,1.82,0
2.1006e-06,-1.5047e-07,0,0.06,1.82,0
2.6078e-06,-1.8008e-07,0,0.07,1.82,0
3.1942e-06,-2.15e-07,0,0.08,1.82,0
3.8772e-06,-2.5662e-07,0,0.09,1.82,0
4.6768e-06,-3.0647e-07,0,0.1,1.82,0
5.6163e-06,-3.6636e-07,0,0.11,1.82,0
6.7228e-06,-4.3837e-07,0,0.12,1.82,0
8.0277e-06,-5.2495e-07,0,0.13,1.82,0
9.5679e-06,-6.2901e-07,0,0.14,1.82,0
1.1386e-05,-7.5396e-07,0,0.15,1.82,0
1.3533e-05,-9.0381e-07,0,0.16,1.82,0
1.6068e-05,-1.0834e-06,0,0.17,1.82,0
1.906e-05,-1.2983e-06,0,0.18,1.82,0
2.2589e-05,-1.5553e-06,0,0.19,1.82,0
2.675e-05,-1.8622e-06,0,0.2,1.82,0
3.1653e-05,-2.2285e-06,0,0.21,1.82,0
3.7425e-05,-2.6658e-06,0,0.22,1.82,0
4.4215e-05,-3.1876e-06,0,0.23,1.82,0
5.2196e-05,-3.81e-06,0,0.24,1.82,0
6.1567e-05,-4.552e-06,0,0.25,1.82,0
7.256e-05,-5.4362e-06,0,0.26,1.82,0
8.5444e-05,-6.4898e-06,0,0.27,1.82,0
0.00010053,-7.7454e-06,0,0.28,1.82,0
0.00011818,-9.2431e-06,0,0.29,1.82,0
0.00013882,-1.1027e-05,0,0.3,1.82,0
0.00016292,-1.3149e-05,0,0.31,1.82,0
0.00019107,-1.5672e-05,0,0.32,1.82,0
2.8601e-07,-3.7246e-08,0,0.01,1.83,0
0,0,0,0,1.83,0
5.8428e-07,-6.7691e-08,0,0.02,1.83,0
9.0283e-07,-9.466e-08,0,0.03,1.83,0
1.2506e-06,-1.2072e-07,0,0.04,1.83,0
1.6376e-06,-1.4799e-07,0,0.05,1.83,0
2.075e-06,-1.7827e-07,0,0.06,1.83,0
2.5757e-06,-2.1319e-07,0,0.07,1.83,0
3.1544e-06,-2.5434e-07,0,0.08,1.83,0
3.8283e-06,-3.0338e-07,0,0.09,1.83,0
4.6172e-06,-3.621e-07,0,0.1,1.83,0
5.5439e-06,-4.326e-07,0,0.11,1.83,0
6.6351e-06,-5.1728e-07,0,0.12,1.83,0
7.9221e-06,-6.1899e-07,0,0.13,1.83,0
9.4408e-06,-7.4111e-07,0,0.14,1.83,0
1.1234e-05,-8.8759e-07,0,0.15,1.83,0
1.335e-05,-1.0631e-06,0,0.16,1.83,0
1.5849e-05,-1.2732e-06,0,0.17,1.83,0
1.8797e-05,-1.5244e-06,0,0.18,1.83,0
2.2275e-05,-1.8245e-06,0,0.19,1.83,0
2.6375e-05,-2.1825e-06,0,0.2,1.83,0
3.1205e-05,-2.6094e-06,0,0.21,1.83,0
3.6892e-05,-3.1182e-06,0,0.22,1.83,0
4.3581e-05,-3.7247e-06,0,0.23,1.83,0
5.1443e-05,-4.4471e-06,0,0.24,1.83,0
6.0674e-05,-5.3065e-06,0,0.25,1.83,0
7.1503e-05,-6.3287e-06,0,0.26,1.83,0
8.4192e-05,-7.5442e-06,0,0.27,1.83,0
9.905e-05,-8.9899e-06,0,0.28,1.83,0
0.00011643,-1.071e-05,0,0.29,1.83,0
0.00013675,-1.2756e-05,0,0.3,1.83,0
0.00016048,-1.5186e-05,0,0.31,1.83,0
0.00018817,-1.8071e-05,0,0.32,1.83,0
0.00022047,-2.1485e-05,0,0.33,1.83,0
2.8223e-07,-4.2859e-08,0,0.01,1.84,0
0,0,0,0,1.84,0
5.7636e-07,-7.7801e-08,0,0.02,1.84,0
8.9036e-07,-1.0869e-07,0,0.03,1.84,0
1.2331e-06,-1.385e-07,0,0.04,1.84,0
1.6143e-06,-1.6967e-07,0,0.05,1.84,0
2.0452e-06,-2.0425e-07,0,0.06,1.84,0
2.5384e-06,-2.441e-07,0,0.07,1.84,0
3.1083e-06,-2.9108e-07,0,0.08,1.84,0
3.7717e-06,-3.4702e-07,0,0.09,1.84,0
4.5483e-06,-4.14e-07,0,0.1,1.84,0
5.4603e-06,-4.9437e-07,0,0.11,1.84,0
6.5342e-06,-5.9084e-07,0,0.12,1.84,0
7.8005e-06,-7.0662e-07,0,0.13,1.84,0
9.2947e-06,-8.4553e-07,0,0.14,1.84,0
1.1058e-05,-1.012e-06,0,0.15,1.84,0
1.314e-05,-1.2113e-06,0,0.16,1.84,0
1.5597e-05,-1.4497e-06,0,0.17,1.84,0
1.8497e-05,-1.7346e-06,0,0.18,1.84,0
2.1916e-05,-2.0747e-06,0,0.19,1.84,0
2.5947e-05,-2.4801e-06,0,0.2,1.84,0
3.0694e-05,-2.9632e-06,0,0.21,1.84,0
3.6284e-05,-3.5384e-06,0,0.22,1.84,0
4.2858e-05,-4.2233e-06,0,0.23,1.84,0
5.0584e-05,-5.0383e-06,0,0.24,1.84,0
5.9655e-05,-6.0068e-06,0,0.25,1.84,0
7.0296e-05,-7.1571e-06,0,0.26,1.84,0
8.2764e-05,-8.523e-06,0,0.27,1.84,0
9.7362e-05,-1.0145e-05,0,0.28,1.84,0
0.00011444,-1.2071e-05,0,0.29,1.84,0
0.00013439,-1.4359e-05,0,0.3,1.84,0
0.00015769,-1.7072e-05,0,0.31,1.84,0
0.00018488,-2.0287e-05,0,0.32,1.84,0
0.00021657,-2.4087e-05,0,0.33,1.84,0
0.00025806,-2.5524e-05,0,0.34,1.83,0
0.00025347,-2.8579e-05,0,0.34,1.84,0
0.00029641,-3.3883e-05,0,0.35,1.84,0
2.779e-07,-4.8081e-08,0,0.01,1.85,0
0,0,0,0,1.85,0
